,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),Total Annual Members (All Time),3-Day Passes Purchased (midnight to 11:59 pm)
0,1/1/2016,11009,24429,919,159362,
1,1/2/2016,14587,29093,877,159403,
2,1/3/2016,15499,29616,784,159459,
3,1/4/2016,19593,36172,166,159502,
4,1/5/2016,18053,32049,121,159534,
5,1/6/2016,24569,40996,265,159564,
6,1/7/2016,27773,45986,318,159588,
7,1/8/2016,28709,47061,364,159621,
8,1/9/2016,20846,37341,632,159654,
9,1/10/2016,14275,25404,391,159682,
10,1/11/2016,22937,37393,155,159731,
11,1/12/2016,25211,38958,151,159761,
12,1/13/2016,21133,31608,82,159792,
13,1/14/2016,23780,37295,123,159813,
14,1/15/2016,28435,45993,379,159841,
15,1/16/2016,19178,35791,803,159885,
16,1/17/2016,12024,20487,387,159910,
17,1/18/2016,12718,19998,123,159931,
18,1/19/2016,17281,26966,64,159957,
19,1/20/2016,23419,35477,126,159972,
20,1/21/2016,23671,36048,133,159991,
21,1/22/2016,20950,31344,115,160004,
22,1/23/2016,0,0,0,160005,
23,1/24/2016,0,0,0,160013,
24,1/25/2016,0,0,0,160020,
25,1/26/2016,0,0,0,160028,
26,1/27/2016,6760,13698,54,160039,
27,1/28/2016,11944,22314,81,160053,
28,1/29/2016,16028,26896,118,160064,
29,1/30/2016,12964,23350,328,160084,
30,1/31/2016,16112,31280,533,160118,
31,2/1/2016,24334,42380,202,160160,
32,2/2/2016,28527,47742,280,160189,
33,2/3/2016,16203,24225,63,160216,
34,2/4/2016,27765,47458,304,160247,
35,2/5/2016,13669,25538,102,160257,
36,2/6/2016,16933,38782,586,160280,
37,2/7/2016,17605,31524,622,160316,
38,2/8/2016,19026,28648,80,160335,
39,2/9/2016,22740,40198,156,160364,
40,2/10/2016,22418,38402,130,160395,
41,2/11/2016,18747,27783,87,160425,
42,2/12/2016,16445,27143,104,160450,
43,2/13/2016,6625,11589,46,160459,
44,2/14/2016,4652,6934,78,160468,
45,2/15/2016,5883,8747,43,160480,
46,2/16/2016,14225,27802,53,160505,
47,2/17/2016,23572,38304,182,160528,
48,2/18/2016,22261,34431,202,160550,
49,2/19/2016,21959,35317,268,160568,
50,2/20/2016,24484,53540,1710,160618,
51,2/21/2016,20052,41645,1228,160685,
52,2/22/2016,28233,48237,455,160749,
53,2/23/2016,16133,26379,62,160784,
54,2/24/2016,9761,14994,38,160814,
55,2/25/2016,25102,42707,237,160849,
56,2/26/2016,22574,36101,254,160887,
57,2/27/2016,17226,37583,706,160910,
58,2/28/2016,25440,61595,2335,160982,
59,2/29/2016,27957,47933,376,161089,
60,3/1/2016,30509,55160,470,161146,
61,3/2/2016,26195,43535,235,161198,
62,3/3/2016,24061,37848,215,161243,
63,3/4/2016,17369,29100,150,161268,
64,3/5/2016,18023,36875,785,161310,
65,3/6/2016,18832,36377,837,161379,
66,3/7/2016,31492,56232,633,161493,
67,3/8/2016,36521,67958,723,161604,
68,3/9/2016,41489,81662,1226,161732,
69,3/10/2016,42252,82079,1271,161867,
70,3/11/2016,38193,76636,1266,161987,
71,3/12/2016,32770,81491,3247,162086,
72,3/13/2016,27549,63214,2216,162214,
73,3/14/2016,10930,16498,70,162289,
74,3/15/2016,31595,57722,582,162380,
75,3/16/2016,36067,68713,930,162482,
76,3/17/2016,35390,65353,785,162583,
77,3/18/2016,34647,69122,933,162670,
78,3/19/2016,24048,49113,1411,162733,
79,3/20/2016,16676,29737,633,162795,
80,3/21/2016,26414,44457,428,162890,
81,3/22/2016,33496,62248,705,163000,
82,3/23/2016,40981,80289,1279,163136,
83,3/24/2016,36495,67590,1045,163216,
84,3/25/2016,34091,70525,1684,163320,
85,3/26/2016,27474,67267,2834,163407,
86,3/27/2016,22481,52462,2080,163501,
87,3/28/2016,20344,35548,375,163589,
88,3/29/2016,31481,55067,588,163681,
89,3/30/2016,33674,61264,769,163770,
90,3/31/2016,38192,79447,1141,163865,
0,1/1/17,16009,50761,1237,206624,33.0
1,1/2/17,8921,21545,142,206675,15.0
2,1/3/17,14198,25879,42,206728,15.0
3,1/4/17,34039,69966,475,206778,29.0
4,1/5/17,28393,52446,214,206845,17.0
5,1/6/17,24177,48964,157,206879,17.0
6,1/7/17,4425,23556,21,206892,4.0
7,1/8/17,6417,22756,27,206907,2.0
8,1/9/17,15856,35209,30,206933,2.0
9,1/10/17,23232,46216,67,206955,12.0
10,1/11/17,32419,63099,208,206981,37.0
11,1/12/17,39783,84763,479,207021,30.0
12,1/13/17,33611,75847,373,207059,43.0
13,1/14/17,13819,43090,252,207087,33.0
14,1/15/17,17384,50738,476,207120,19.0
15,1/16/17,24110,51664,448,207163,30.0
16,1/17/17,18646,40697,63,207198,15.0
17,1/18/17,30857,57978,146,207224,17.0
18,1/19/17,36561,72077,391,207262,27.0
19,1/20/17,26752,56479,184,207288,19.0
20,1/21/17,26610,64662,957,207336,31.0
21,1/22/17,20523,49368,520,207368,25.0
22,1/23/17,15822,37687,54,207399,20.0
23,1/24/17,13171,35619,28,207414,5.0
24,1/25/17,36931,71418,301,207453,29.0
25,1/26/17,33002,63750,223,207501,28.0
26,1/27/17,32394,70189,231,207540,23.0
27,1/28/17,21302,53955,402,207567,25.0
28,1/29/17,22527,62854,585,207620,26.0
29,1/30/17,29616,59975,163,207673,32.0
30,1/31/17,25169,48684,62,207706,19.0
31,2/1/17,35221,77639,194,207749,22.0
32,2/2/17,34517,70727,216,207793,27.0
33,2/3/17,29632,64701,181,207825,32.0
34,2/4/17,19204,45120,413,207861,14.0
35,2/5/17,20059,50532,337,207890,19.0
36,2/6/17,33415,72513,305,207930,49.0
37,2/7/17,23053,57760,54,207962,17.0
38,2/8/17,40428,90430,483,208011,32.0
39,2/9/17,0,0,0,208018,0.0
40,2/10/17,1997,8344,15,208030,1.0
41,2/11/17,8959,26272,170,208037,13.0
42,2/12/17,5801,26468,26,208054,5.0
43,2/13/17,23857,58710,72,208076,18.0
44,2/14/17,29668,78530,154,208099,16.0
45,2/15/17,32052,72383,170,208137,30.0
46,2/16/17,29120,63551,104,208163,16.0
47,2/17/17,28735,67530,247,208200,37.0
48,2/18/17,30571,99126,2078,208258,114.0
49,2/19/17,36963,125166,3746,208347,122.0
50,2/20/17,32292,91412,1512,208436,75.0
51,2/21/17,32643,84767,308,208516,48.0
52,2/22/17,38119,90651,439,208594,36.0
53,2/23/17,42434,98554,828,208658,88.0
54,2/24/17,47031,117155,1534,208767,119.0
55,2/25/17,33345,104309,2035,208886,77.0
56,2/26/17,24713,75196,849,208966,33.0
57,2/27/17,35984,80194,388,209035,42.0
58,2/28/17,41835,92642,504,209119,60.0
59,3/1/17,40592,85944,393,209229,51.0
60,3/2/17,35739,73839,320,209310,44.0
61,3/3/17,31105,68702,292,209370,39.0
62,3/4/17,15646,43108,252,209404,14.0
63,3/5/17,15919,50924,312,209451,22.0
64,3/6/17,32467,72776,321,209536,39.0
65,3/7/17,29683,63654,181,209587,29.0
66,3/8/17,43470,101573,694,209656,55.0
67,3/9/17,45251,99450,764,209728,34.0
68,3/10/17,18412,41971,95,209758,15.0
69,3/11/17,15185,48379,183,209781,27.0
70,3/12/17,13442,38114,167,209799,9.0
71,3/13/17,27417,58768,205,209827,14.0
72,3/14/17,0,0,0,209843,0.0
73,3/15/17,0,0,0,209859,0.0
74,3/16/17,0,0,0,209870,0.0
75,3/17/17,7098,25393,151,209888,15.0
76,3/18/17,4106,17446,93,209910,6.0
77,3/19/17,10550,33344,339,209943,21.0
78,3/20/17,27378,60363,288,210002,21.0
79,3/21/17,36824,78104,479,210073,47.0
80,3/22/17,26927,55713,140,210121,15.0
81,3/23/17,29885,74345,291,210160,25.0
82,3/24/17,34019,82681,485,210199,39.0
83,3/25/17,29647,86293,1721,210267,60.0
84,3/26/17,19893,55139,546,210318,30.0
85,3/27/17,26301,59614,318,210388,40.0
86,3/28/17,21590,46003,91,210448,20.0
87,3/29/17,42430,91525,830,210559,97.0
88,3/30/17,39746,91041,669,210623,61.0
89,3/31/17,6946,23462,20,210670,5.0
0,1/1/2018,5499,11483,123,253490,7.0
1,1/2/2018,18818,39352,125,253558,12.0
2,1/3/2018,24299,42853,164,253591,4.0
3,1/4/2018,1922,5328,2,253604,1.0
4,1/5/2018,4972,14303,14,253614,0.0
5,1/6/2018,4294,9479,9,253624,2.0
6,1/7/2018,5640,9387,41,253640,4.0
7,1/8/2018,15820,31294,45,253661,4.0
8,1/9/2018,25090,50981,112,253690,17.0
9,1/10/2018,28252,50218,142,253720,18.0
10,1/11/2018,33961,66584,244,253757,15.0
11,1/12/2018,22252,46403,152,253786,16.0
12,1/13/2018,17758,30418,355,253809,31.0
13,1/14/2018,12394,32949,183,253827,9.0
14,1/15/2018,17637,41770,150,253857,8.0
15,1/16/2018,30278,60053,189,253895,13.0
16,1/17/2018,19010,36319,52,253921,12.0
17,1/18/2018,27662,52573,92,253952,18.0
18,1/19/2018,30525,50322,216,253983,15.0
19,1/20/2018,28507,59336,1044,254025,41.0
20,1/21/2018,27908,61571,1013,254092,26.0
21,1/22/2018,36864,68638,345,254144,25.0
22,1/23/2018,28796,63693,179,254191,19.0
23,1/24/2018,36078,69596,232,254236,32.0
24,1/25/2018,31147,51927,181,254263,16.0
25,1/26/2018,33073,61857,313,254301,23.0
26,1/27/2018,34348,70146,1415,254368,41.0
27,1/28/2018,20100,38221,334,254415,22.0
28,1/29/2018,36799,68868,274,254466,33.0
29,1/30/2018,27996,59260,114,254492,15.0
30,1/31/2018,31276,54440,141,254539,19.0
31,2/1/2018,35561,66984,212,254590,27.0
32,2/2/2018,26313,50427,129,254620,18.0
33,2/3/2018,18385,40020,263,254640,23.0
34,2/4/2018,13959,35121,224,254670,7.0
35,2/5/2018,29068,56061,193,254725,21.0
36,2/6/2018,34102,68060,160,254760,18.0
37,2/7/2018,15289,31573,30,254781,4.0
38,2/8/2018,31563,60985,168,254806,20.0
39,2/9/2018,31567,57070,223,254833,25.0
40,2/10/2018,16323,37641,343,254857,26.0
41,2/11/2018,8809,21167,85,254877,2.0
42,2/12/2018,35138,68283,339,254922,40.0
43,2/13/2018,35189,69420,252,254968,31.0
44,2/14/2018,39591,80081,408,255002,39.0
45,2/15/2018,44193,88474,501,255044,28.0
46,2/16/2018,29191,57219,316,255088,37.0
47,2/17/2018,17921,38834,537,255118,51.0
48,2/18/2018,21537,50512,938,255151,40.0
49,2/19/2018,25677,62150,553,255217,50.0
50,2/20/2018,44478,98129,906,255306,85.0
51,2/21/2018,53110,118306,1596,255430,77.0
52,2/22/2018,27010,54857,147,255485,18.0
53,2/23/2018,25633,49639,165,255534,22.0
54,2/24/2018,25550,61251,956,255597,51.0
55,2/25/2018,16149,34052,231,255654,18.0
56,2/26/2018,42570,84614,448,255747,54.0
57,2/27/2018,48514,107682,664,255836,48.0
58,2/28/2018,50707,100855,637,255944,52.0
59,3/1/2018,45562,91489,571,256022,45.0
60,3/2/2018,6855,23277,21,256050,7.0
61,3/3/2018,28361,61107,851,256117,56.0
62,3/4/2018,25262,60490,704,256189,33.0
63,3/5/2018,36774,75190,357,256263,47.0
64,3/6/2018,42688,80995,516,256307,27.0
65,3/7/2018,8188,22312,16,256333,7.0
66,3/8/2018,28440,53403,188,256360,17.0
67,3/9/2018,34912,70068,344,256393,43.0
68,3/10/2018,25443,59343,689,256438,43.0
69,3/11/2018,27596,67622,1173,256517,46.0
70,3/12/2018,36339,76569,351,256578,39.0
71,3/13/2018,23137,46021,133,256623,14.0
72,3/14/2018,35377,62352,269,256673,39.0
73,3/15/2018,39572,72192,462,256724,66.0
74,3/16/2018,34921,62381,383,256763,55.0
75,3/17/2018,27671,62524,1015,256823,56.0
76,3/18/2018,25158,55182,839,256880,36.0
77,3/19/2018,39278,83086,544,256933,39.0
78,3/20/2018,35532,69573,187,256986,17.0
79,3/21/2018,3755,11799,3,257004,1.0
80,3/22/2018,27308,61715,216,257040,25.0
81,3/23/2018,38527,77668,543,257098,55.0
82,3/24/2018,34396,79562,1755,257167,88.0
83,3/25/2018,25562,62656,710,257226,24.0
84,3/26/2018,40295,88831,718,257315,87.0
85,3/27/2018,41354,88986,524,257378,63.0
86,3/28/2018,41880,80607,586,257447,64.0
87,3/29/2018,39288,84590,544,257501,65.0
88,3/30/2018,34784,78825,1006,257584,147.0
89,3/31/2018,41779,109399,3856,257701,151.0
0,1/1/19,22145,44131,2429,297823,49.0
1,1/2/19,38249,58975,1062,297908,36.0
2,1/3/19,42181,62500,969,297976,31.0
3,1/4/19,44420,65739,1173,298017,33.0
4,1/5/19,17636,24326,462,298048,8.0
5,1/6/19,31764,50481,1711,298094,31.0
6,1/7/19,36928,52310,514,298152,18.0
7,1/8/19,41728,60469,654,298218,23.0
8,1/9/19,44882,63480,646,298263,23.0
9,1/10/19,39449,53225,478,298299,13.0
10,1/11/19,33196,44226,465,298331,23.0
11,1/12/19,25431,35133,772,298361,26.0
12,1/13/19,23020,33018,700,298399,18.0
13,1/14/19,35408,48021,402,298439,9.0
14,1/15/19,39538,54751,511,298470,19.0
15,1/16/19,40854,56553,513,298510,7.0
16,1/17/19,39417,53430,463,298546,14.0
17,1/18/19,34478,47215,542,298574,27.0
18,1/19/19,23933,34580,865,298595,28.0
19,1/20/19,14440,19131,368,298616,8.0
20,1/21/19,10392,11911,141,298632,5.0
21,1/22/19,28913,37788,315,298665,14.0
22,1/23/19,42028,59442,526,298692,10.0
23,1/24/19,20328,27931,260,298721,7.0
24,1/25/19,39298,54567,621,298748,21.0
25,1/26/19,26607,38634,933,298778,18.0
26,1/27/19,30338,48280,1510,298828,19.0
27,1/28/19,36173,49109,448,298878,13.0
28,1/29/19,31355,42066,341,298919,12.0
29,1/30/19,25496,33178,263,298947,8.0
30,1/31/19,18882,22917,186,298975,8.0
31,2/1/19,25289,31752,255,298998,11.0
32,2/2/19,22280,30802,627,299032,19.0
33,2/3/19,32274,52757,1743,299103,24.0
34,2/4/19,47049,73262,1180,299172,42.0
35,2/5/19,54710,87917,1770,299249,42.0
36,2/6/19,39616,55696,754,299296,27.0
37,2/7/19,43840,62728,765,299341,22.0
38,2/8/19,36964,52442,864,299383,22.0
39,2/9/19,24041,33607,811,299409,10.0
40,2/10/19,24434,35873,935,299449,6.0
41,2/11/19,39197,54362,563,299493,20.0
42,2/12/19,16044,22190,150,299521,4.0
43,2/13/19,35523,48870,439,299551,21.0
44,2/14/19,42313,61381,773,299589,26.0
45,2/15/19,47524,74286,1590,299633,58.0
46,2/16/19,31347,52760,2030,299683,58.0
47,2/17/19,24287,39660,1439,299711,30.0
48,2/18/19,26176,37500,810,299757,17.0
49,2/19/19,35226,49024,595,299810,10.0
50,2/20/19,20694,28763,221,299835,15.0
51,2/21/19,40082,60375,961,299871,37.0
52,2/22/19,42338,61956,1097,299913,49.0
53,2/23/19,31956,49887,1635,299956,28.0
54,2/24/19,24503,37473,992,299993,19.0
55,2/25/19,34736,47207,495,300029,14.0
56,2/26/19,38126,52805,524,300067,23.0
57,2/27/19,37028,48666,464,300097,27.0
58,2/28/19,38784,53031,652,300157,30.0
59,3/1/19,30242,41583,522,300183,26.0
60,3/2/19,18001,27381,570,300213,25.0
61,3/3/19,23240,35764,1115,300264,22.0
62,3/4/19,28424,39154,563,300319,23.0
63,3/5/19,37103,50155,552,300367,24.0
64,3/6/19,33287,42845,376,300409,27.0
65,3/7/19,35913,46582,468,300450,15.0
66,3/8/19,40416,55748,852,300503,32.0
67,3/9/19,38929,68739,3010,300574,35.0
68,3/10/19,18897,28056,662,300611,16.0
69,3/11/19,52412,80705,1749,300691,56.0
70,3/12/19,47214,66518,1003,300757,40.0
71,3/13/19,50121,71556,1194,300825,42.0
72,3/14/19,57476,86864,1826,300904,82.0
73,3/15/19,57517,95073,2843,300987,119.0
74,3/16/19,42144,74307,3369,301086,97.0
75,3/17/19,36826,64440,2755,301187,73.0
76,3/18/19,46535,68775,1361,301278,54.0
77,3/19/19,52997,78320,1602,301381,49.0
78,3/20/19,55396,83442,1723,301476,58.0
79,3/21/19,21248,27005,342,301520,14.0
80,3/22/19,35477,49691,1076,301579,51.0
81,3/23/19,37379,61407,2693,301671,74.0
82,3/24/19,50318,100843,5896,301827,79.0
83,3/25/19,53463,79824,1562,301952,64.0
84,3/26/19,55421,81425,1715,302083,49.0
85,3/27/19,54483,78975,1583,302176,56.0
86,3/28/19,58538,87465,1966,302430,87.0
87,3/29/19,59324,91975,2573,302587,103.0
88,3/30/19,66672,144759,9151,302941,135.0
89,3/31/19,32768,52486,1916,303060,52.0
0,4/1/2016,34448,67595,1113,163963,0.0
1,4/2/2016,21838,46206,1193,164031,0.0
2,4/3/2016,15321,28615,448,164102,0.0
3,4/4/2016,12302,20143,49,164167,0.0
4,4/5/2016,26236,43723,341,164237,0.0
5,4/6/2016,29364,48901,443,164310,0.0
6,4/7/2016,30400,54591,280,164366,0.0
7,4/8/2016,30811,53039,542,164425,0.0
8,4/9/2016,12698,21151,346,164455,0.0
9,4/10/2016,23228,49190,1508,164536,0.0
10,4/11/2016,32048,59206,668,164632,0.0
11,4/12/2016,23765,43504,316,164703,0.0
12,4/13/2016,37538,71788,761,164790,0.0
13,4/14/2016,38502,88278,963,164885,0.0
14,4/15/2016,39676,86981,1273,164996,0.0
15,4/16/2016,36148,102228,3726,165139,0.0
16,4/17/2016,38838,115805,4348,165354,0.0
17,4/18/2016,43989,102730,1595,165576,0.0
18,4/19/2016,46075,107515,1130,165812,0.0
19,4/20/2016,44542,104249,1160,166002,0.0
20,4/21/2016,45568,104484,1307,166153,0.0
21,4/22/2016,48806,113556,4230,166319,0.0
22,4/23/2016,33631,96274,3309,166462,0.0
23,4/24/2016,37862,115132,4026,166692,0.0
24,4/25/2016,42303,100925,1698,166902,0.0
25,4/26/2016,34639,75454,741,167048,0.0
26,4/27/2016,41931,93272,1395,167196,0.0
27,4/28/2016,37428,74857,927,167311,0.0
28,4/29/2016,34878,78020,1051,167439,0.0
29,4/30/2016,38258,110776,4244,167638,0.0
30,5/1/2016,10697,29020,260,167721,0.0
31,5/2/2016,38536,84418,967,167842,0.0
32,5/3/2016,22858,57652,350,167987,0.0
33,5/4/2016,31619,67962,449,168111,0.0
34,5/5/2016,39903,80750,970,168262,0.0
35,5/6/2016,18860,42069,275,168326,0.0
36,5/7/2016,31078,78977,2293,168427,0.0
37,5/8/2016,31197,84464,2773,168582,0.0
38,5/9/2016,45724,103071,1389,168779,0.0
39,5/10/2016,44849,89755,876,168979,0.0
40,5/11/2016,51181,106139,1531,169209,0.0
41,5/12/2016,52273,115823,1971,169407,0.0
42,5/13/2016,32391,68317,855,169570,0.0
43,5/14/2016,42063,108807,4186,169769,0.0
44,5/15/2016,28662,64857,1865,169933,0.0
45,5/16/2016,42787,94791,1362,170102,0.0
46,5/17/2016,43396,80744,1012,170276,0.0
47,5/18/2016,44803,93320,1120,170465,0.0
48,5/19/2016,49184,104291,1471,170680,151.0
49,5/20/2016,52544,118192,2349,170960,184.0
50,5/21/2016,30524,72663,2174,171147,138.0
51,5/22/2016,37804,98270,3159,171349,131.0
52,5/23/2016,48578,109072,1549,171680,177.0
53,5/24/2016,34799,68156,696,171898,98.0
54,5/25/2016,53441,125803,1702,172154,191.0
55,5/26/2016,52134,124751,1646,172386,195.0
56,5/27/2016,46943,106768,1988,172638,221.0
57,5/28/2016,34233,95897,3634,172831,296.0
58,5/29/2016,36881,114069,4820,173090,161.0
59,5/30/2016,32627,94241,2782,173422,134.0
60,5/31/2016,49774,106059,1492,174137,212.0
61,6/1/2016,54662,127143,1513,174344,156.0
62,6/2/2016,54401,124918,1649,174516,162.0
63,6/3/2016,38975,85292,1023,174633,118.0
64,6/4/2016,40973,107610,3824,174797,159.0
65,6/5/2016,22395,54320,1133,174912,57.0
66,6/6/2016,52130,123879,1861,175118,208.0
67,6/7/2016,51761,114761,1331,175293,127.0
68,6/8/2016,42063,89460,673,175420,74.0
69,6/9/2016,52885,127585,1556,175557,168.0
70,6/10/2016,53235,119143,2022,175697,207.0
